"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Unique CTR (link click-through rate)","Results rate per link clicks","Cost per results","Ad set budget","Ad set budget type","Amount spent (BRL)",Impressions,Reach,"Total messaging contacts","New messaging contacts",Purchases,Ends,"Attribution setting","Cost per purchase (BRL)","Results (initial)","Results (initial) indicator"
2026-08-01,2026-08-31,"03.05 - [CONTÍNUO] | [FB+IG] | [AUTO] | CONV | CADASTRO | COMPRE AGORA | 22/11/ 24 % - SEM DATA",inactive,,,0,,,80,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"03.10 - [GMZ.MOKE] | [CONTÍNUO] | [FB+IG] | [AUTO] | CONV | Venda Direta - MULHERES|  | 19/03/25 % - SEM DATA",inactive,,,0,,,"Using ad set budget",0,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"CONVERSÃO | Venda Direta FACEBOOK | FUNDO | 03.04.25 %",inactive,,,0,,,"Using ad set budget",0,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"ALCANCE | LEILÃO | SDA | TOPO | 04.11.25 +",inactive,0,reach,0,,,"Using ad set budget",0,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"ALCANCE | LEILÃO % | SDA | MAVERICK | TOPO | 11.11.25",inactive,0,reach,0,,,124,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"ENGAJAMENTO | LEILÃO % | SDA | MAVERICK | TOPO | 11.11.25",inactive,,,0,,,123,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"CONVERSÃO | VENDA % | SDA | FUNDO - 24/11/25",inactive,,,0,,,600,Daily,0,0,0,,,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,
2026-08-01,2026-08-31,"INSTITUCIONAL | RECONHECIMENTO | TOPO | INFORMATIVOS | 12.01.26 @",inactive,0,reach,0,,,"Using ad set budget",0,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"INSTITUCIONAL | RECONHECIMENTO | TOPO | ECOSSISTEMA | 12.01.26 @",inactive,0,reach,0,,,11.67,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"VENDA DIRETA | TRÁFEGO | MEIO | INFORMATIVO | FACEBOOK | VENDER | 23.01.26 %",inactive,,,0,,,23.43,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"INSTITUCIONAL | TRÁFEGO | MEIO | SERVIÇOS | 03.02.26 @",inactive,,,0,,,6.63,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
