Relatório de anúncios
1 de agosto de 2026 - 31 de agosto de 2026
Status do anúncio,URL final,URLs de beacon,Título,Título longo,Título longo 1,Título longo 2,Título longo 3,Título longo 4,Título longo 5,Título 1,Posição do título 1,Título 2,Posição do título 2,Título 3,Posição do título 3,Título 4,Posição do título 4,Título 5,Posição do título 5,Título 6,Posição do título 6,Título 7,Posição do título 7,Título 8,Posição do título 8,Título 9,Posição do título 9,Título 10,Posição do título 10,Título 11,Posição do título 11,Título 12,Posição do título 12,Título 13,Posição do título 13,Título 14,Posição do título 14,Título 15,Posição do título 15,Descrição 1,Posição da descrição 1,Descrição 2,Posição da descrição 2,Descrição 3,Posição da descrição 3,Descrição 4,Posição da descrição 4,Descrição 5,ID da imagem,Código da imagem quadrada,Código da imagem em formato de retrato,Código do logotipo,Código do logotipo no formato paisagem,Nome da empresa,ID da imagem da Rede de Display,Vídeo,Texto de call-to-action,Texto de call-to-action 1,Texto de call-to-action 2,Texto de call-to-action 3,Texto de call-to-action 4,Texto de call-to-action 5,Título da call-to-action,ID do vídeo,Banner complementar,Cor de destaque,Cor principal,Permitir cores flexíveis,Preferência de formato de anúncio,Texto da promoção,Prefixo do preço,Ativar melhorias de recursos,Ativar vídeos gerados automaticamente,Nome do anúncio,ad.device_preference,ad.display_url,Caminho 1,Caminho 2,URL final para dispositivos móveis,Modelo de rastreamento,Sufixo do URL final,Parâmetro personalizado,Campanha,Grupo de anúncios,Status,Motivos do status,Tipo de anúncio,Qualidade do anúncio,Melhorias na qualidade do anúncio,Código da moeda,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,Conv. (comparável entre plataformas),Custo / conv. (comparável entre plataformas),Valor da conv. / custo (comparável entre plataformas),Taxa de conv.,Conversões,Custo / conv.
Ativado,https://www.copart.com.br/doRegistration/?utm_source=google&utm_medium=cpc&utm_campaign=pesquisa_leilao_termos&utm_content=grupo1&utm_term=grupo1, --, --, --, --, --, --, --, --,Compre Veículos Online, --,Processo Transparente, --,Preços Acessíveis em Leilão, --,Ofertas de Carros Em Leilão, --,Compra Simples e Rápida, --,Diversos Modelos Disponíveis, --,Cadastro Rápido e Fácil, --,Oportunidades em Veículos, --,Leilão de Motos e Carros, --,Ofertas Imperdíveis de Carros, --,Seu Novo Carro Te Espera Aqui, --,Compre Carro em Leilão Online, --,Leilão De Carro Em {LOCATION(City):Todo Brasil}, --,Participe do Leilão Agora, --,Carros em Leilão Hoje, --,Compre Carros Em Leilão Online. Veja Os Preços Imperdíveis E Variedade De Opções!, --,Participe de leilões de carros online com total praticidade. Cadastre-se e tenha acesso, --,Encontre carros em leilão com total transparência. Cadastre-se e participe online., --,Participe de leilões de carros online com segurança e praticidade., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,LEILÃO | PESQUISA | LEADS | KW: TERMOS GERAIS | 25/09/24 +,Grupo 1 — Alta intenção,Não qualificado,grupo de anúncios pausado; campanha pausada,Anúncio responsivo de pesquisa,Excelente,,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://www.copart.com.br/doRegistration/?utm_source=google&utm_medium=cpc&utm_campaign=termos-fundo-leilao, --, --, --, --, --, --, --, --,Compre Carros Em Leilão, --,Carros Baratos No Leilão, --,Leilões De Carros Online, --,Ofertas de Carros Em Leilão, --,Leilão de Veículos Online, --,Carros Usados em Leilão {LOCATION(City):SP}, --,Site de Leilão de Carros, --,Veja As Oportunidades Aqui, --,Leilão de Motos e Carros, --,Ofertas Imperdíveis de Carros, --,Seu Novo Carro Te Espera Aqui, --,Compre Carro em Leilão Online, --,Leilão De Carro Em {LOCATION(City):Todo Brasil}, --,Participe do Leilão Agora, --,Carros em Leilão Hoje, --,Compre Carros Em Leilão Online. Veja Os Preços Imperdíveis E Variedade De Opções!, --,Leilão De Carros Online Com As Melhores Ofertas {LOCATION(City):Todo O Brasil}. Confira Hoje Mesmo!, --,Leilão De Carros Online. Economize E Garanta Seu Novo Carro Com Segurança!, --,Seu Próximo Carro Está Aqui. Participe de Nossos Leilões Online E Garanta Ele!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,LEILÃO | PESQUISA | LEADS | KW: TERMOS GERAIS | 25/09/24 +,Serviços | Leilão,Não qualificado,grupo de anúncios pausado; campanha pausada,Anúncio responsivo de pesquisa,Boa,Inclua mais palavras-chave nas suas descrições;Adicione mais 1 sitelink ao seu anúncio,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Pausado,https://www.copart.com.br/?utm_source=google&utm_medium=cpc&utm_campaign=servicos&utm_term=leilao, --, --, --, --, --, --, --, --,Compra E Venda, --,Faça Seu Cadastro, --,Cadastre-Se Agora, --,Carros à Venda, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Leilōes de Veículos Copart Brasil, --,Leilões Online é na copart, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,LEILÃO | PESQUISA | LEADS | KW: TERMOS GERAIS | 25/09/24 +,Serviços | VMC,Pausado,pausado; grupo de anúncios pausado; campanha pausada,Anúncio responsivo de pesquisa,Ruim,Adicione mais títulos para aumentar suas chances de ter uma performance melhor;Inclua mais palavras-chave nos seus títulos;Inclua mais palavras-chave nas suas descrições;Adicione mais alguns títulos exclusivos ou libere alguns recursos,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://www.copart.com.br/?cid=ppc:g:brazil:portuguese:highvalue04:brand:reg, --, --, --, --, --, --, --, --,Copart Brasil Leilões Online, --,Leilão Online Copart Brasil, --,Veículos em todo Brasil, --,Copart Leilão Veículos Online, --,Participe de leilões digitais, --,Carros sinistrados, --,Cadastre-se gratuitamente, --,Oportunidade em veículos, --,Compre veículos em todo país, --,Maior portfólio de automóveis, --, --, --, --, --, --, --, --, --, --, --,A Copart é a maior leiloeira de carros do mundo e agora está no Brasil, --,Acesse a plataforma online de leilões e compre seu automóvel, --,"Cadastre-se gratuitamente. Leilões em diversas regiões do país, participe e compre online", --,Mais de 8.000 ofertas mensais. Registre-se e comece a dar lances., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,[AGX] [NonBrand] [Car Auction],Institucional,Não qualificado,campanha pausada,Anúncio responsivo de pesquisa,Na média,Inclua mais palavras-chave nos seus títulos;Inclua mais palavras-chave nas suas descrições,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://www.copart.com.br/?utm_source=google&utm_medium=cpc&utm_campaign=vmc, --, --, --, --, --, --, --, --,Faça Seu Cadastro, --,{Keyword:Venda Sua Moto}, --,Coloque Sua Moto A Venda, --,Venda Segura de Carros, --,Venda Sua Moto Hoje Mesmo, --,Venda Seu Veículo Usado, --,Anuncie Sua Moto Agora, --,Tenha Sua Moto Vendida Rápida, --,Procurando {Keyword:Anunciar sua Moto}?, --,Procurando Onde Anunciar Moto, --,Venda Sua Moto Com Segurança, --,Cadastre-se, --,Copart Brasil, --,Rápida e Segura, --,"Rápido, Fácil e Sem Burocracia", --,Conecte-se com Milhares de Compradores e Venda sua Moto Rapidamente., --,"Anuncie sua Moto na Copart e Venda Rápida, com Segurança e Sem Complicação", --,Mais de 1 milhão de Compradores Esperando por Você. Cadastre-se Agora Mesmo, --,O Jeito Mais Fácil e Seguro de Vender sua Moto Online., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,03.01 - [CONTÍNUO] | [P] | CONV | LEADS | KW: VMC | 16/01/25 - SEM DATA,[MOTO - FRASE],Não qualificado,campanha pausada,Anúncio responsivo de pesquisa,Excelente,,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Pausado,https://www.copart.com.br/?utm_source=google&utm_medium=cpc&utm_campaign=servicos&utm_term=leilao, --, --, --, --, --, --, --, --,Compra E Venda, --,Faça Seu Cadastro, --,Cadastre-Se Agora, --,Carros à Venda, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Leilōes de Veículos Copart Brasil, --,Leilões Online é na copart, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,LEILÃO | PESQUISA | LEADS | KW: TERMOS GERAIS | 25/09/24 +,Serviços | Leilão,Pausado,pausado; grupo de anúncios pausado; campanha pausada,Anúncio responsivo de pesquisa,Pendente,,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://www.copart.com.br/?utm_source=google&utm_medium=cpc&utm_campaign=vmc, --, --, --, --, --, --, --, --,Venda Carros Online Fácil, --,Venda Seu Carro Online, --,Totalmente Seguro, --,Copart Brasil, --,Seu Carro Vendido sem Esforço, --,Vender Seu carro Ficou Simples, --,Tenha Seu Carro Vendido Rápido, --,{Keyword:Venda Rápida e Segura}, --,Anuncie e Venda Seus Carros, --,Venda De Carro Rápido e Seguro, --,Alcance Milhões de Compradores, --,Cadastra-se Agora, --,Venda Meu Carro, --,Rápido e Seguro, --,Venda Seu Carro com Segurança, --,Vender Seu Carro Ficou Mais fácil Do Que Nunca. Venda Seu Veículo Com Segurança Agora!, --,Venda seu Carro Online sem Complicação. Faça Tudo de Forma Ágil e Sem Burocracia, --,Venda seu Carro Parado e Faça Dinheiro Agora! Processo Seguro e Sem Dor de Cabeça, --,Encontre O Comprador Ideal Para Seu Carro. Anuncie Seu Veículo Novo Ou Usado., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,anuncieseucarro, --,, --, --,,03.01 - [CONTÍNUO] | [P] | CONV | LEADS | KW: VMC | 16/01/25 - SEM DATA,[CARRO-AMPLA],Não qualificado,campanha pausada,Anúncio responsivo de pesquisa,Excelente,,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Pausado,https://lp.copart.com.br/venda-meu-carro?utm_source=google&utm_medium=cpc&utm_campaign=vmc, --, --, --, --, --, --, --, --,Faça Seu Cadastro, --,{Keyword:Venda Sua Moto}, --,Coloque Sua Moto A Venda, --,Venda Segura de Carros, --,Venda Sua Moto Hoje Mesmo, --,Venda Seu Veículo Usado, --,Anuncie Sua Moto Agora, --,Tenha Sua Moto Vendida Rápida, --,Procurando {Keyword:Anunciar sua Moto}?, --,Procurando Onde Anunciar Moto, --,Venda Sua Moto Com Segurança, --,Cadastre-se, --,Copart Brasil, --,Rápida e Segura, --,"Rápido, Fácil e Sem Burocracia", --,Conecte-se com Milhares de Compradores e Venda sua Moto Rapidamente., --,"Anuncie sua Moto na Copart e Venda Rápida, com Segurança e Sem Complicação", --,Mais de 1 milhão de Compradores Esperando por Você. Cadastre-se Agora Mesmo, --,O Jeito Mais Fácil e Seguro de Vender sua Moto Online., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,03.01 - [CONTÍNUO] | [P] | CONV | LEADS | KW: VMC | 16/01/25 - SEM DATA,[MOTO - FRASE],Pausado,pausado; campanha pausada,Anúncio responsivo de pesquisa,Excelente,,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Pausado,https://lp.copart.com.br/venda-meu-carro?utm_source=google&utm_medium=cpc&utm_campaign=vmc, --, --, --, --, --, --, --, --,Faça Seu Cadastro, --,Venda Carros Online Fácil, --,Coloque Seu Carro A Venda, --,Venda Segura de Carros, --,Venda Seu Carro Hoje Mesmo, --,Venda Seu Veículo Usado, --,Vender Carro de Forma Simples, --,Tenha Seu Carro Vendido Rápido, --,Procurando {Keyword:Anunciar seu Carro}?, --,Anuncie e Venda Carros Conosco, --,Venda De Carro Rápido e Seguro, --,{Keyword:Venda Seu Carro Rapidamente}, --,Copart Brasil, --,Rápida e Segura, --,Não Consegue Vender Seu Carro?, --,Vender Seu Carro Ficou Mais fácil Do Que Nunca. Venda Seu Veículo Com Segurança Agora!, --,Uma Solução Ágil e Descomplicada Para Vender o seu Veículo Usado, --,Vender Seu Carro Online Com A Copart É Seguro E Fácil. Entre Agora Em Contato!, --,Encontre O Comprador Ideal Para Seu Carro. Anuncie Seu Veículo Novo Ou Usado., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,vendameucarro, --,, --, --,,03.01 - [CONTÍNUO] | [P] | CONV | LEADS | KW: VMC | 16/01/25 - SEM DATA,[CARRO-AMPLA],Pausado,pausado; campanha pausada,Anúncio responsivo de pesquisa,Excelente,,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://www.copart.com.br/search/compre_agora/?displayStr=Compre%20Agora&from=%2FvehicleFinder?utm_source=google&utm_medium=cpc&utm_campaign=termos-fundo-compreagora, --, --, --, --, --, --, --, --,Compre Carros Agora Online, --,Faça Seu Cadastro, --,Carros Usados à Venda Agora, --,Compre Seminovos Para Comprar, --,Carros Disponíveis na Copart, --,Compre Carro Direto Online, --,Carros Usados Preços Baixos, --,Compre Carro Sem Leilão Hoje, --,Carros em Ótimo Estado Agora, --,Compre Carro Fácil e Rápido, --,Comprar Carros Usados Online, --,Compre Carro Hoje na Copart, --,Cadastre-se, --,Compre Seu Carro na Copart, --,Compre Agora, --,Encontre veículos disponíveis para compra online na Copart. Aproveite agora!, --,Carros usados com preços especiais prontos para você. Compre agora!, --,Compre seu carro na Copart sem precisar participar de leilão. Rápido e fácil!, --,"Compre seu carro hoje na Copart. Rápido, seguro e direto!", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,LEILÃO | PESQUISA | LEADS | KW: TERMOS GERAIS | 25/09/24 +,Serviços | Compre Agora,Não qualificado,grupo de anúncios pausado; campanha pausada,Anúncio responsivo de pesquisa,Na média,Adicione mais 1 sitelink ao seu anúncio,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://www.copart.com.br/?utm_source=google&utm_medium=cpc&utm_campaign=vmc, --, --, --, --, --, --, --, --,Faça Seu Cadastro, --,Venda Carros Online Fácil, --,Coloque Seu Carro A Venda, --,Venda Segura de Carros, --,Venda Seu Carro Hoje Mesmo, --,Venda Seu Veículo Usado, --,Vender Carro de Forma Simples, --,Tenha Seu Carro Vendido Rápido, --,Procurando {Keyword:Anunciar seu Carro}?, --,Anuncie e Venda Carros Conosco, --,Venda De Carro Rápido e Seguro, --,{Keyword:Venda Seu Carro Rapidamente}, --,Copart Brasil, --,Rápida e Segura, --,Não Consegue Vender Seu Carro?, --,Vender Seu Carro Ficou Mais fácil Do Que Nunca. Venda Seu Veículo Com Segurança Agora!, --,Uma Solução Ágil e Descomplicada Para Vender o seu Veículo Usado, --,Vender Seu Carro Online Com A Copart É Seguro E Fácil. Entre Agora Em Contato!, --,Encontre O Comprador Ideal Para Seu Carro. Anuncie Seu Veículo Novo Ou Usado., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,vendameucarro, --,, --, --,,03.01 - [CONTÍNUO] | [P] | CONV | LEADS | KW: VMC | 16/01/25 - SEM DATA,[CARRO-AMPLA],Não qualificado,campanha pausada,Anúncio responsivo de pesquisa,Excelente,,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://www.copart.com.br/doRegistration/?utm_source=google&utm_medium=cpc&utm_campaign=pesquisa_leilao_termos&utm_content=grupo3&utm_term=grupo3, --, --, --, --, --, --, --, --,Carros e Motos em Leilão, --,Carros Baratos No Leilão, --,Plataforma Digital de Leilões, --,Ofertas de Carros Em Leilão, --,Compra Segura Pela Internet, --,Leilão de Carros e Veículos, --,Site de Leilão de Carros, --,Veja As Oportunidades Aqui, --,Leilão de Motos e Carros, --,Ofertas Imperdíveis de Carros, --,Seu Novo Carro Te Espera Aqui, --,Compre Carro em Leilão Online, --,Leilão De Carro Em {LOCATION(City):Todo Brasil}, --,Participe do Leilão Agora, --,Carros em Leilão Hoje, --,Compre veículos em leilão com processo seguro e transparente. Cadastre-se e participe, --,Participe de leilões de veículos online com segurança. Cadastre-se e Participe, --,Leilão De Carros Online. Economize E Garanta Seu Novo Carro Com Segurança!, --,Seu Próximo Carro Está Aqui. Participe de Nossos Leilões Online E Garanta Ele!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,LEILÃO | PESQUISA | LEADS | KW: TERMOS GERAIS | 25/09/24 +,Grupo 3 — Genéricos controlados,Não qualificado,campanha pausada,Anúncio responsivo de pesquisa,Boa,Inclua mais palavras-chave nos seus títulos,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Pausado,https://lp.copart.com.br/venda-meu-carro?utm_source=google&utm_medium=cpc&utm_campaign=dm-vmc, --, --, --, --, --, --, --, --,Venda Seu Carro Online Já, --,Anuncie Seu Carro Agora, --,Venda De Carro Rápido e Seguro, --,Copart Brasil, --,Venda Com Segurança Total, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Encontre o Comprador Ideal para Seu Carro Com Segurança e Praticidade, --,Vender Seu Carro Online Com A Copart É Seguro E Fácil. Entre Agora Em Contato!, --,Vender Seu Carro Ficou Mais fácil Do Que Nunca. Venda Seu Veículo Com Segurança Agora!, --,"Venda Seu Carro Usado Rápido e Sem Complicação. Simples, Ágil e Seguro", --, --,202672732415,202672716605; 202723285078,202672734881,19956692106, --,Copart Brasil, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,AD5, --, --, --, --,, --, --,,02.08 -  [CONTÍNUO] | [DG] | CONV | LEADS | KW: VMC  | 23/01/25 - SEM DATA,VMC,Pausado,pausado; campanha pausada,Anúncio de geração de demanda gráfico,Boa, --;--;--,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://copart.com.br/?utm_source=google&utm_medium=cpc&utm_campaign=dm-vmc, --, --, --, --, --, --, --, --,Venda Seu Carro Online Já, --,Anuncie Seu Carro Agora, --,Venda De Carro Rápido e Seguro, --,Copart Brasil, --,Venda Com Segurança Total, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Encontre o Comprador Ideal para Seu Carro Com Segurança e Praticidade, --,Vender Seu Carro Online Com A Copart É Seguro E Fácil. Entre Agora Em Contato!, --,Vender Seu Carro Ficou Mais fácil Do Que Nunca. Venda Seu Veículo Com Segurança Agora!, --,"Venda Seu Carro Usado Rápido e Sem Complicação. Simples, Ágil e Seguro", --, --,202723445002,202672842401; 202692810003, --,19956692106, --,Copart Brasil, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,AD6 - URL Site Institucional, --, --, --, --,, --, --,,02.08 -  [CONTÍNUO] | [DG] | CONV | LEADS | KW: VMC  | 23/01/25 - SEM DATA,VMC,Não qualificado,campanha pausada,Anúncio de geração de demanda gráfico,Na média, --;--;--,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Pausado,https://lp.copart.com.br/venda-meu-carro?utm_source=google&utm_medium=cpc&utm_campaign=dm-vmc, --, --, --, --, --, --, --, --,Venda Seu Carro Agora, --,Anuncie Seu Carro Agora, --,Cadastre e Venda Rápido, --,Copart Brasil, --,Precisa de dinheiro urgente?, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Encontre o Comprador Ideal para Seu Carro Com Segurança e Praticidade, --,Desapegue do carro com facilidade. Receba ofertas agora, --,Vender Seu Carro Ficou Mais fácil Do Que Nunca. Venda Seu Veículo Com Segurança Agora!, --,"Venda Seu Carro Usado Rápido e Sem Complicação. Simples, Ágil e Seguro", --,Marketplace seguro e com alta demanda. Cadastre e venda,229632172883, --,229631941757,19956692106, --,Copart Brasil, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,AD8, --, --, --, --,, --, --,,02.08 -  [CONTÍNUO] | [DG] | CONV | LEADS | KW: VMC  | 23/01/25 - SEM DATA,VMC,Pausado,pausado; campanha pausada,Anúncio de geração de demanda gráfico,Na média, --;--;--;--,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Pausado,https://lp.copart.com.br/venda-meu-carro?utm_source=google&utm_medium=cpc&utm_campaign=dm-vmc, --, --, --, --, --, --, --, --,Venda Seu Carro Online Já, --,Anuncie Seu Carro Agora, --,Venda De Carro Rápido e Seguro, --,Copart Brasil, --,Venda Com Segurança Total, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Encontre o Comprador Ideal para Seu Carro Com Segurança e Praticidade, --,Vender Seu Carro Online Com A Copart É Seguro E Fácil. Entre Agora Em Contato!, --,Vender Seu Carro Ficou Mais fácil Do Que Nunca. Venda Seu Veículo Com Segurança Agora!, --,"Venda Seu Carro Usado Rápido e Sem Complicação. Simples, Ágil e Seguro", --, --,202692135897,202672379414,202672438361; 202672461557,19956692106, --,Copart Brasil, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,AD3, --, --, --, --,, --, --,,02.08 -  [CONTÍNUO] | [DG] | CONV | LEADS | KW: VMC  | 23/01/25 - SEM DATA,VMC,Pausado,pausado; campanha pausada,Anúncio de geração de demanda gráfico,Boa, --;--;--,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Pausado,https://www.copart.com.br/doRegistration/, --, --, --, --, --, --, --, --,Leilões em todo o Brasil, --,Compra e venda em um só lugar, --, +70 leilões todo mês, --,Plataforma líder em leilões, --,Venda seu veículo com suporte, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Compre e venda veículos com segurança e transparência., --,"Na Copart Brasil, você pode dar lances em carros, caminhões e outros", --,"Lotes de bancos, seguradoras e financiamentos.", --,Já pensou em comprar veículo em leilão com segurança?, --,Mais de 70 leilões de veículos todos os meses no Brasil.,334322127853; 334361122896; 334361133078; 334322104660,334232795804; 334321639336; 334359777165; 334321639423,334232822036; 334232818829; 334321624027; 334360620486,19956692106; 142905672882; 142905678690; 250487419729, --,Copart Brasil, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,AD 02, --, --, --, --,, --, --,,LEILÃO | DMG | LEADS | FUNDO | RMKT | 23.02.26 +,INSTITUCIONAL,Pausado,pausado; campanha pausada,Anúncio de geração de demanda gráfico,Boa, --,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://www.copart.com.br/doRegistration/?utm_source=google&utm_medium=cpc&utm_campaign=pesquisa_leilao_termos&utm_content=grupo1&utm_term=grupo1, --, --, --, --, --, --, --, --,Carros em Leilão Online, --,Compra 100% Digital e Segura, --,Plataforma Oficial de Veiculos, --,Ofertas de Carros Em Leilão, --,Cadastre-se e Participe Agora, --,Diversos Modelos Disponíveis, --,Site de Leilão de Carros, --,Oportunidades em Veículos, --,Leilão de Motos e Carros, --,Ofertas Imperdíveis de Carros, --,Seu Novo Carro Te Espera Aqui, --,Compre Carro em Leilão Online, --,Leilão De Carro Em {LOCATION(City):Todo Brasil}, --,Participe do Leilão Agora, --,Carros em Leilão Hoje, --,Compre Carros Em Leilão Online. Veja Os Preços Imperdíveis E Variedade De Opções!, --,Leilão De Carros Online Com As Melhores Ofertas {LOCATION(City):Todo O Brasil}. Confira Hoje Mesmo!, --,Encontre carros em leilão com total transparência. Cadastre-se e participe online., --,Plataforma confiável para comprar veículos em leilão com segurança. Cadastre-se, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,LEILÃO | PESQUISA | LEADS | KW: TERMOS GERAIS | 25/09/24 +,Grupo 1 — Alta intenção,Não qualificado,grupo de anúncios pausado; campanha pausada,Anúncio responsivo de pesquisa,Excelente,,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Pausado,https://lp.copart.com.br/venda-meu-carro?utm_source=google&utm_medium=cpc&utm_campaign=vmc, --, --, --, --, --, --, --, --,Faça Seu Cadastro, --,{Keyword:Venda Sua Moto}, --,Coloque Sua Moto A Venda, --,Venda Segura de Carros, --,Venda Sua Moto Hoje Mesmo, --,Venda Seu Veículo Usado, --,Anuncie Sua Moto Agora, --,Tenha Sua Moto Vendida Rápida, --,Procurando {Keyword:Anunciar sua Moto}?, --,Procurando Onde Anunciar Moto, --,Venda Sua Moto Com Segurança, --,Cadastre-se, --,Copart Brasil, --,Rápida e Segura, --,"Rápido, Fácil e Sem Burocracia", --,Conecte-se com Milhares de Compradores e Venda sua Moto Rapidamente., --,"Anuncie sua Moto na Copart e Venda Rápida, com Segurança e Sem Complicação", --,Mais de 1 milhão de Compradores Esperando por Você. Cadastre-se Agora Mesmo, --,O Jeito Mais Fácil e Seguro de Vender sua Moto Online., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,03.01 - [CONTÍNUO] | [P] | CONV | LEADS | KW: VMC | 16/01/25 - SEM DATA,[MOTO - FRASE],Pausado,pausado; campanha pausada,Anúncio responsivo de pesquisa,Excelente,,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://www.copart.com.br/sellForIndividuals/?utm_source=google&utm_medium=cpc&utm_campaign=pesquisa_venda-direta, --, --, --, --, --, --, --, --,{Keyword:Venda Seu Véiculo Aqui}, --,Copart Brazil, --,Quer vender seu Veículo?, --,Processo simples e seguro, --,Venda seu Carro com Segurança, --,Venda Seu Carro Na Copart, --,Venda Seu Veículo Agora, --,Compradores em todo o Brasil, --,Procurando Vender Seu Carro?, --,Plataforma Segura de Venda, --,Venda Carro de Forma Rápida, --,Alcance Nacional, --,Venda Seu Carro Usado, --,Anuncie Para Mais Compradores, --,"Anuncie Para 1,2M Compradores", --,Venda seu veículo com segurança. Você define o valor e recebe propostas., --,Anuncie seu veículo para compradores de todo o Brasil em uma plataforma segura., --,Processo simples e acompanhado por especialistas do início ao fim., --,Receba propostas e só feche negócio se fizer sentido para você., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,VENDA DIRETA | PESQUISA | LEADS | FUNDO | VENDA | 09.02.26 %,[FRASE],Qualificado,,Anúncio responsivo de pesquisa,Boa,Inclua mais palavras-chave nas suas descrições;Adicione mais 1 sitelink ao seu anúncio,BRL,"43,03",22.005,2.326,"10,57%","0,41","946,78","0,00",0,"0,00","1,17%","27,18","34,84"
