ano,mes,periodo,entrantes,habilitados,meta_entrantes,meta_habilitados,atingimento_entrantes_pct,atingimento_habilitados_pct
2025,Setembro,Fechamento mensal,18983,11000,,,,
2026,Setembro,Parcial até 13/09/2026,7337,4536,19000,11000,38.62,41.24
